2026-01-11 06:37:39,446 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:39:50,907 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:39:51,026 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:42:01,474 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:42:01,647 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:44:04,992 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:44:05,130 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:46:17,055 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:46:17,203 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:48:35,161 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:48:35,305 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:50:54,668 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:50:54,801 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:53:17,312 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:53:17,635 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:55:45,746 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:55:45,882 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:58:24,546 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:58:24,709 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:01:14,738 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:01:14,886 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:04:16,818 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:04:16,985 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:07:10,601 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:07:11,010 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
