2026-01-11 14:40:43,007 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 14:40:43,076 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 14:41:29,962 | get_all_planets_by_id.py | INFO | There is planet with the 1 id in the DB
2026-01-11 14:42:11,629 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 14:42:11,761 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 14:42:47,848 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 14:42:56,340 | get_all_planets_by_id.py | INFO | There is planet with the 1 id in the DB
2026-01-11 14:46:20,724 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 14:46:21,827 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 14:46:21,943 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 14:48:45,032 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 14:48:48,052 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 14:48:48,062 | get_all_planets_by_id.py | INFO | There is planet with the 1 id in the DB
2026-01-11 14:48:48,202 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 14:49:16,345 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 14:49:16,433 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 14:49:29,618 | get_all_planets_by_id.py | INFO | There is planet with the 1 id in the DB
2026-01-11 14:49:36,687 | get_all_planets_by_id.py | INFO | There is planet with the 2 id in the DB
2026-01-11 14:49:36,862 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 14:49:36,974 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 14:49:39,319 | get_all_planets_by_id.py | INFO | There is planet with the 3 id in the DB
2026-01-11 14:49:39,319 | get_all_planets_by_id.py | INFO | Error on getting planet 3 id from DB
2026-01-11 14:49:45,425 | get_all_planets_by_id.py | INFO | There is planet with the 4 id in the DB
2026-01-11 14:49:45,425 | get_all_planets_by_id.py | INFO | Error on getting planet 4 id from DB
2026-01-11 14:49:47,878 | get_all_planets_by_id.py | INFO | There is planet with the 1 id in the DB
2026-01-11 14:50:07,028 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 14:50:07,097 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 14:50:18,980 | get_all_planets_by_id.py | INFO | There is planet with the 1 id in the DB
2026-01-11 14:50:21,580 | get_all_planets_by_id.py | INFO | There is planet with the 1 id in the DB
2026-01-11 14:50:26,196 | get_all_planets_by_id.py | INFO | There is planet with the 2 id in the DB
2026-01-11 14:50:29,041 | get_all_planets_by_id.py | INFO | There is planet with the 1 id in the DB
2026-01-11 14:50:31,961 | get_all_planets_by_id.py | INFO | There is planet with the 2 id in the DB
2026-01-11 14:50:32,932 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 14:50:33,020 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 14:54:26,423 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 14:54:26,508 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 14:56:03,002 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 14:56:09,940 | get_all_planets_by_id.py | INFO | Error on getting planet 1 id from DB
2026-01-11 14:58:42,673 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 14:58:42,823 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 14:59:04,728 | get_all_planets_by_id.py | INFO | Error on getting planet 1 id from DB
2026-01-11 14:59:47,187 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 14:59:47,406 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 14:59:58,653 | get_all_planets_by_id.py | INFO | Error on getting planet 1 id from DB
2026-01-11 15:01:19,718 | get_all_planets_by_id.py | INFO | Error on getting planet 1 id from DB
2026-01-11 15:01:21,625 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 15:02:25,878 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 15:02:57,239 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 15:03:02,186 | get_all_planets_by_id.py | INFO | Error on getting planet 1 id from DB
2026-01-11 15:04:44,425 | get_all_planets_by_id.py | INFO | Error on getting planet 1 id from DB
2026-01-11 15:04:47,982 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 15:04:48,118 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 15:05:16,960 | get_all_planets.py | INFO | Got all planets from DB
